Instance,KK,Repeated Random,Hill Climbing,Simulated Annealing,PP Repeated Random,PP Hill Climbing,PP Simulated Annealing
1,98599,305104249,164861979,535654059,9,723,189
2,44724,140680662,480215416,44147010,14,1228,248
3,132320,594085778,270815346,252005880,208,560,168
4,91244,54763528,100262204,17497590,32,2244,8
5,177781,130357951,4107125,1010537565,71,151,63
6,145897,584560941,118581217,233180501,447,133,151
7,28182,115307224,60400880,114797260,76,664,46
8,27706,132320934,143302126,112588736,28,258,84
9,209133,60525673,89080601,290644903,47,219,269
10,113672,288861428,303598184,73890962,18,260,380
11,211896,401896536,25539274,1084953704,430,116,356
12,34732,340026934,1184620940,558619988,480,282,226
13,204885,1096644135,361854099,754743849,61,267,95
14,25328,435378588,509796426,847984856,42,834,166
15,165747,27646621,1244789871,302072225,167,165,249
16,1342861,170838357,160875057,72636543,35,127,529
17,917218,52658182,1133836432,63699598,300,1666,184
18,6095,68130941,692453829,279916461,9,1193,319
19,201456,226402486,44384016,102417642,534,268,38
20,57302,39524294,35174230,304518022,42,60,78
21,230542,172326464,456374938,337568768,216,1082,122
22,101883,128381873,379288563,135451019,69,141,27
23,33253,42917881,219726179,34191571,19,1195,387
24,172917,571542825,97634697,268373737,93,1473,149
25,118660,250297878,258565420,13043862,146,1236,294
26,76778,132883862,507330792,524409244,202,914,226
27,89498,200142426,220442268,103175756,138,238,100
28,152505,464044655,170147739,118565837,311,397,193
29,2967,710608735,504717395,200075249,7,649,719
30,39546,74229642,48944116,645363562,248,178,320
31,118300,268094980,219717558,91692858,224,1422,384
32,10180,1116559254,40730222,44432810,170,556,22
33,209773,96830067,226879991,93676891,19,2221,395
34,100658,266091040,208125710,465022560,10,14,234
35,211499,334952571,377644543,159887417,13,2167,561
36,40934,219453286,391039222,144860574,16,710,784
37,35462,403374048,389092748,23011462,48,188,204
38,9310,19971880,329841816,563247170,12,30,68
39,107607,468647721,81461391,442530417,461,39,65
40,94985,276204331,159819869,588155743,273,519,293
41,37328,825257042,341133646,115914296,414,602,276
42,51397,36754745,163303567,219238371,15,477,85
43,520479,41818979,338238305,225485863,1,1313,523
44,403020,86473012,203650770,16968872,252,1352,114
45,326967,11458937,581527289,353740383,239,1807,297
46,208440,397548276,191150700,87013546,96,946,132
47,103006,109642738,15515572,120354434,158,158,120
48,372952,294145806,325769676,173356884,62,376,612
49,107454,702146308,1169292724,287137536,338,160,42
50,675083,592540295,233462713,136110395,35,177,133
